candle_begin_time,open,high,low,close,volume
2018-09-01 00:00:00,6.4069,6.44,6.4037,6.4399,17380.58665721
2018-09-01 00:05:00,6.4398,6.4537,6.4261,6.4532,12688.61049177
2018-09-01 00:10:00,6.4532,6.4532,6.4335,6.4336,8556.23553827
2018-09-01 00:15:00,6.4336,6.45,6.4336,6.45,14351.6258903
2018-09-01 00:20:00,6.45,6.4566,6.4489,6.4489,48654.45233929
2018-09-01 00:25:00,6.44818267,6.4595,6.4386,6.4526,37765.50728467001
2018-09-01 00:30:00,6.4534,6.4603,6.4399,6.4575,26203.3874595
2018-09-01 00:35:00,6.4575,6.4576,6.4397,6.4567,11544.10622292
2018-09-01 00:40:00,6.4542,6.4543,6.441,6.442,4450.48361318
2018-09-01 00:45:00,6.442,6.442,6.4325,6.4325,877.98072576
2018-09-01 00:50:00,6.4324,6.5341,6.42005867,6.5341,284416.33348766
2018-09-01 00:55:00,6.5341,6.575,6.5301,6.5603,204955.71532664
2018-09-01 01:00:00,6.56,6.6193,6.5599,6.6017,257587.91933183
2018-09-01 01:05:00,6.6051,6.6979999999999995,6.6051,6.6354,319458.8053078501
2018-09-01 01:10:00,6.6354,6.6573,6.6216,6.656000000000001,28419.32204893
2018-09-01 01:15:00,6.6569,6.67,6.6211,6.6212,36714.627644539985
2018-09-01 01:20:00,6.6204,6.6237,6.5856,6.59,80190.66583941001
2018-09-01 01:25:00,6.5887,6.6214,6.5839,6.6114,35140.24191696
2018-09-01 01:30:00,6.6114,6.6312,6.611000000000001,6.6312,15324.47504769
2018-09-01 01:35:00,6.6312,6.643,6.6141,6.6227,20908.43544445
2018-09-01 01:40:00,6.6208,6.6217,6.5839,6.5866,29287.37951644
2018-09-01 01:45:00,6.586,6.5907,6.5536,6.5603,53179.49857565
2018-09-01 01:50:00,6.5602,6.5761,6.5399,6.57,69156.1753958
2018-09-01 01:55:00,6.5687,6.5997,6.561,6.5997,32264.59567512
2018-09-01 02:00:00,6.5941,6.6253,6.5941,6.6168,43549.15083895
2018-09-01 02:05:00,6.6156,6.6168,6.6,6.605,59702.88292926001
2018-09-01 02:10:00,6.605,6.6119,6.6049,6.61,40221.86633447
2018-09-01 02:15:00,6.6053,6.6139,6.6049,6.6129,6133.45337164
2018-09-01 02:20:00,6.6128,6.6253,6.6097,6.615,10949.04191684
2018-09-01 02:25:00,6.6153,6.6419,6.615,6.6334,67202.39660445
2018-09-01 02:30:00,6.6335,6.65,6.6335,6.6462,14500.85676495
2018-09-01 02:35:00,6.6476,6.6563,6.6351,6.6366,8321.07384884
2018-09-01 02:40:00,6.6357,6.6379,6.6099,6.6211,21829.526657740003
2018-09-01 02:45:00,6.6198,6.6214,6.6113,6.6214,8166.64990544
2018-09-01 02:50:00,6.6154,6.6154,6.61,6.61,3324.47976893
2018-09-01 02:55:00,6.61,6.6149,6.6098,6.6098,1354.52238156
2018-09-01 03:00:00,6.6114,6.6188,6.6082,6.6153,2690.73828155
2018-09-01 03:05:00,6.6152,6.6317,6.6152,6.6268,5513.10650509
2018-09-01 03:10:00,6.6257,6.6274,6.6196,6.6219,2225.99329086
2018-09-01 03:15:00,6.6252,6.6571,6.6252,6.6529,7408.90247097
2018-09-01 03:20:00,6.6529,6.6733,6.6529,6.6544,42630.58597815
2018-09-01 03:25:00,6.6547,6.6547,6.6266,6.6296,14689.81153721
2018-09-01 03:30:00,6.6297,6.6988,6.6297,6.6609,136490.9981875
2018-09-01 03:35:00,6.6608,6.6795,6.6525,6.6795,30520.95707423
2018-09-01 03:40:00,6.6796,6.6866,6.6545,6.6866,18008.35444914
2018-09-01 03:45:00,6.6857,6.6892,6.6385,6.6385,35378.09942127
2018-09-01 03:50:00,6.6418,6.67,6.6339999999999995,6.6339999999999995,24888.352128
2018-09-01 03:55:00,6.638,6.652,6.6317,6.6519,7485.53744824
2018-09-01 04:00:00,6.652,6.6804,6.652,6.6746,19547.32119139
2018-09-01 04:05:00,6.6751,6.7079,6.645,6.645,95849.48342812
2018-09-01 04:10:00,6.6496,6.653,6.6192,6.6192,13993.21346008
2018-09-01 04:15:00,6.6192,6.6227,6.6,6.601,31651.69190618
2018-09-01 04:20:00,6.601,6.605,6.6,6.6047,25657.561261820007
2018-09-01 04:25:00,6.6066,6.6214,6.6025,6.6025,18364.6582223
2018-09-01 04:30:00,6.6024,6.6025,6.5863,6.59,12952.129394300002
2018-09-01 04:35:00,6.5915,6.5976,6.5774,6.595,47503.1851236
2018-09-01 04:40:00,6.5947,6.599,6.5915,6.5931,19414.99623557
2018-09-01 04:45:00,6.5947,6.6023,6.5947,6.5994,1628.6009531900004
2018-09-01 04:50:00,6.6033,6.6401,6.6033,6.6235,49518.16628508
2018-09-01 04:55:00,6.6235,6.6468,6.6235,6.643,12938.82288814
2018-09-01 05:00:00,6.6431,6.6457,6.6271,6.6298,6298.51101141
2018-09-01 05:05:00,6.6299,6.6299,6.6044,6.6044,4257.94836229
2018-09-01 05:10:00,6.6054,6.6109,6.6053,6.6053,1863.70812032
2018-09-01 05:15:00,6.6072,6.6144,6.6055,6.608,4858.62560683
2018-09-01 05:20:00,6.6069,6.6069,6.5792,6.58,5767.177239219999
2018-09-01 05:25:00,6.5786,6.5967,6.57,6.5945,10702.903294049998
2018-09-01 05:30:00,6.5982,6.6,6.5703,6.5752,5357.812743399999
2018-09-01 05:35:00,6.5724,6.593,6.5724,6.5895,4196.65948886
2018-09-01 05:40:00,6.591,6.5961,6.591,6.5961,2603.5452
